Band	HGNC symbol	Gene Start (bp)	Gene End (bp)	Chromosome Name
p36.33	CALML6	1914827	1917296	1
p36.33	TMEM52	1917590	1919273	1
p36.33	GABRD	2019324	2030751	1
p36.33	PRKCZ	2050470	2185395	1
p36.33	SKI	2228695	2310119	1
p36.32	MORN1	2321253	2391707	1
p36.32	RER1	2391775	2405444	1
p36.32	PEX10	2403964	2413797	1
p36.32	PLCH2	2425980	2505530	1
p36.32	PANK4	2508533	2526628	1
p36.32	HES5	2528745	2530245	1
p36.32	TNFRSF14	2555639	2565382	1
p36.32	FAM213B	2586491	2591469	1
p36.32	MMEL1	2590639	2632990	1
p36.32	TTC34	2635976	2801717	1
p36.32	ACTRT2	3021483	3022903	1
p36.32	PRDM16	3069168	3438621	1
p36.32	MIR4251	3127975	3128035	1
p36.32	ARHGEF16	3454426	3481113	1
p36.32	MEGF6	3489920	3611495	1
p36.32	MIR551A	3560695	3560790	1
p36.32	TPRG1L	3625002	3630127	1
p36.32	WRAP73	3630767	3652761	1
p36.32	TP73	3652520	3736201	1
p36.32	TP73-AS1	3735601	3747336	1
p36.32	CCDC27	3746460	3771645	1
p36.32	LRRC47	3778558	3796504	1
p36.32	CEP104	3812081	3857214	1
p36.32	DFFB	3857267	3885429	1
p36.32	C1orf174	3889125	3900293	1
p36.32	AJAP1	4654732	4792534	1
p36.31	MIR4417	5564071	5564143	1
p36.31	MIR4689	5862672	5862741	1
p36.31	NPHP4	5862811	5992473	1
p36.31	KCNAB2	5991466	6101193	1
p36.31	CHD5	6101793	6180123	1
p36.31	RPL22	6181269	6209389	1
p36.31	RNF207	6205475	6221299	1
p36.31	ICMT	6221193	6235972	1
p36.31	HES3	6244192	6245578	1
p36.31	GPR153	6247346	6260975	1
p36.31	ACOT7	6264269	6394391	1
p36.31	HES2	6412418	6424670	1
p36.31	ESPN	6424788	6461370	1
p36.31	MIR4252	6429834	6429896	1
p36.31	TNFRSF25	6461151	6466195	1
p36.31	PLEKHG5	6466092	6520061	1
p36.31	NOL9	6521347	6554535	1
p36.31	TAS1R1	6555181	6579757	1
p36.31	ZBTB48	6580001	6589280	1
p36.31	KLHL21	6590724	6614607	1
p36.31	PHF13	6613685	6624033	1
p36.31	THAP3	6624866	6635586	1
p36.31	DNAJC11	6634168	6701924	1
p36.31	CAMTA1	6785324	7769706	1
p36.23	VAMP3	7771269	7781432	1
p36.23	PER3	7784320	7845177	1
p36.23	UTS2	7843083	7853512	1
p36.23	TNFRSF9	7915894	7943165	1
p36.23	PARK7	7954291	7985505	1
p36.23	ERRFI1	8004404	8026308	1
p36.23	SLC45A1	8317826	8344167	1
p36.23	RERE	8352397	8817643	1
p36.23	ENO1	8861002	8879249	1
p36.23	ENO1-AS1	8878835	8879894	1
p36.23	CA6	8945867	8975092	1
p36.23	SLC2A7	9003300	9026345	1
p36.23	SLC2A5	9035107	9088478	1
p36.22	GPR157	9100305	9129170	1
p36.22	MIR34A	9148011	9196983	1
p36.22	H6PD	9234775	9271337	1
p36.22	SPSB1	9292880	9369532	1
p36.22	SLC25A33	9539482	9585179	1
p36.22	TMEM201	9588922	9614873	1
p36.22	PIK3CD	9651732	9729114	1
p36.22	CLSTN1	9729026	9824526	1
p36.22	CTNNBIP1	9848276	9910336	1
p36.22	LZIC	9922113	9943407	1
p36.22	NMNAT1	9943428	9985501	1
p36.22	RBP7	9997206	10016020	1
p36.22	UBE4B	10032832	10181239	1
p36.22	KIF1B	10210805	10381603	1
p36.22	PGD	10398592	10420144	1
p36.22	APITD1-CORT	10430102	10452153	1
p36.22	APITD1	10430443	10442809	1
p36.22	CORT	10449719	10451902	1
p36.22	DFFA	10456522	10472526	1
p36.22	PEX14	10472288	10630758	1
p36.22	CASZ1	10636604	10796650	1
p36.22	C1orf127	10946471	10982037	1
p36.22	TARDBP	11012344	11026420	1
p36.22	MASP2	11026523	11047233	1
p36.22	SRM	11054584	11060024	1
p36.22	EXOSC10	11066618	11099881	1
p36.22	MTOR	11106535	11262507	1
p36.22	ANGPTL7	11189341	11195981	1
p36.22	UBIAD1	11273206	11296049	1
p36.22	FBXO2	11648367	11655785	1
p36.22	FBXO44	11654375	11663327	1
p36.22	FBXO6	11664124	11674354	1
p36.22	MAD2L2	11674480	11691650	1
p36.22	AGTRAP	11736084	11754802	1
p36.22	MTHFR	11785723	11806920	1
p36.22	CLCN6	11806096	11843144	1
p36.22	NPPA-AS1	11841017	11848079	1
p36.22	NPPA	11845709	11848345	1
p36.22	NPPB	11857464	11858931	1
p36.22	RNU5E-1	11908152	11908271	1
p36.22	KIAA2013	11919591	11926428	1
p36.22	PLOD1	11934205	11975538	1
p36.22	MFN2	11980181	12013514	1
p36.22	MIIP	12019466	12032045	1
p36.22	TNFRSF8	12063377	12144207	1
p36.22	TNFRSF1B	12166943	12209228	1
p36.22	MIR4632	12191713	12191773	1
p36.22	VPS13D	12230067	12512047	1
p36.21	SNORA59A	12507246	12507397	1
p36.21	DHRS3	12567910	12617731	1
p36.21	AADACL4	12644547	12667086	1
p36.21	AADACL3	12716115	12728759	1
p36.21	C1orf158	12746215	12763699	1
p36.21	PRAMEF12	12774841	12777906	1
p36.21	PRAMEF1	12791397	12796628	1
p36.21	PRAMEF11	12824605	12831410	1
p36.21	HNRNPCL1	12847408	12848725	1
p36.21	PRAMEF2	12857086	12861909	1
p36.21	PRAMEF4	12879224	12886201	1
p36.21	PRAMEF10	12892896	12898270	1
p36.21	PRAMEF7	12916610	12920482	1
p36.21	PRAMEF6	12938472	12947580	1
p36.21	PRAMEF9	13172455	13179464	1
p36.21	PRAMEF13	13196823	13199589	1
p36.21	PRAMEF18	13222695	13226133	1
p36.21	PRAMEF5	13254212	13263314	1
p36.21	PRAMEF8	13281035	13285174	1
p36.21	PRAMEF15	13303509	13322598	1
p36.21	PRAMEF14	13342034	13347134	1
p36.21	PRAMEF19	13369067	13371693	1
p36.21	PRAMEF17	13389632	13392629	1
p36.21	PRAMEF20	13410450	13421328	1
p36.21	LRRC38	13474977	13514048	1
p36.21	PDPN	13583465	13617957	1
p36.21	PRDM2	13700198	13825079	1
p36.21	KAZN	13892792	15118043	1
p36.21	TMEM51	15152532	15220480	1
p36.21	FHAD1	15247272	15400283	1
p36.21	EFHD2	15409895	15430343	1
p36.21	CTRC	15438439	15449242	1
p36.21	CELA2A	15456728	15472091	1
p36.21	CELA2B	15465909	15491400	1
p36.21	CASP9	15490832	15526534	1
p36.21	DNAJC16	15526813	15592379	1
p36.21	AGMAT	15572353	15585110	1
p36.21	DDI2	15617500	15669044	1
p36.21	RSC1A1	15659869	15661722	1
p36.21	PLEKHM2	15684332	15734769	1
p36.21	SLC25A34	15736405	15741396	1
p36.21	TMEM82	15742422	15747982	1
p36.21	FBLIM1	15756607	15786594	1
p36.21	UQCRHL	15807169	15809348	1
p36.21	SPEN	15847864	15940460	1
p36.13	ZBTB17	15941869	15976132	1
p36.13	C1orf64	16004236	16008807	1
p36.13	HSPB7	16014028	16019594	1
p36.13	CLCNKA	16018875	16034050	1
p36.13	CLCNKB	16043736	16057308	1
p36.13	FAM131C	16057769	16073632	1
p36.13	EPHA2	16124337	16156087	1
p36.13	ARHGEF19	16197854	16212609	1
p36.13	RSG1	16231700	16237162	1
p36.13	FBXO42	16246839	16352454	1
p36.13	SPATA21	16387117	16437424	1
p36.13	NECAP2	16440672	16460078	1
p36.13	CROCCP3	16467436	16499257	1
p36.13	NBPF1	16562319	16613562	1
p36.13	CROCCP2	16618969	16644683	1
p36.13	MST1P2	16645622	16650289	1
p36.13	ESPNP	16687339	16720157	1
p36.13	CROCC	16740273	16972979	1
p36.13	MIR3675	16858949	16859021	1
p36.13	MFAP2	16974502	16980835	1
p36.13	ATP13A2	16985958	17011928	1
p36.13	SDHB	17018722	17054170	1
p36.13	PADI2	17066761	17119435	1
p36.13	PADI1	17205126	17246005	1
p36.13	PADI3	17249098	17284233	1
p36.13	PADI4	17308195	17364004	1
p36.13	PADI6	17372196	17401699	1
p36.13	RCC2	17406760	17439724	1
p36.13	ARHGEF10L	17539835	17697874	1
p36.13	ACTL8	17755313	17827063	1
p36.13	IGSF21	18107746	18378483	1
p36.13	KLHDC7A	18480982	18486126	1
p36.13	PAX7	18631006	18748866	1
p36.13	TAS1R2	18839599	18859682	1
p36.13	ALDH4A1	18871430	18902781	1
p36.13	MIR4695	18883202	18883275	1
p36.13	IFFO2	18904281	18956686	1
p36.13	UBR4	19074506	19210276	1
p36.13	MRTO4	19251539	19260128	1
p36.13	AKR7L	19265982	19274194	1
p36.13	AKR7A3	19282558	19289250	1
p36.13	AKR7A2	19303965	19312146	1
p36.13	PQLC2	19312326	19329300	1
p36.13	CAPZB	19338776	19485539	1
p36.13	MINOS1	19596977	19629821	1
p36.13	NBL1	19640554	19658456	1
p36.13	HTR6	19665287	19679562	1
p36.13	TMCO4	19682213	19799945	1
p36.13	RNF186	19814029	19815278	1
p36.13	OTUD3	19882513	19912945	1
p36.13	PLA2G2E	19920009	19923617	1
p36.13	PLA2G2A	19975431	19980416	1
p36.13	PLA2G5	20028179	20091190	1
p36.12	PLA2G2D	20111939	20119566	1
p36.12	PLA2G2F	20139326	20150386	1
p36.12	PLA2G2C	20161253	20177424	1
p36.12	UBXN10	20186085	20196048	1
p36.12	VWA5B1	20290919	20354894	1
p36.12	CAMK2N1	20482391	20486220	1
p36.12	MUL1	20499448	20508161	1
p36.12	FAM43B	20552439	20555010	1
p36.12	CDA	20588948	20618908	1
p36.12	PINK1	20633455	20651511	1
p36.12	DDOST	20651767	20661544	1
p36.12	KIF17	20664014	20718017	1
p36.12	SH2D5	20719732	20732837	1
p36.12	HP1BP3	20742661	20787323	1
p36.12	EIF4G3	20806292	21176888	1
p36.12	MIR1256	20988314	20988432	1
p36.12	ECE1	21217247	21345504	1
p36.12	NBPF3	21440128	21485005	1
p36.12	ALPL	21509372	21578412	1
p36.12	RAP1GAP	21596215	21669363	1
p36.12	USP48	21678298	21783606	1
p36.12	LDLRAD2	21812265	21825221	1
p36.12	HSPG2	21822245	21937297	1
p36.12	CELA3B	21977021	21998642	1
p36.12	CELA3A	22001656	22012539	1
p36.12	LINC00339	22024531	22031225	1
p36.12	CDC42	22052627	22092946	1
p36.12	WNT4	22117305	22143969	1
p36.12	ZBTB40	22451851	22531157	1
p36.12	EPHA8	22563564	22603594	1
p36.12	C1QA	22636506	22639608	1
p36.12	C1QC	22643630	22648110	1
p36.12	C1QB	22652762	22661538	1
p36.12	EPHB2	22710839	22921500	1
p36.12	MIR4684	22719517	22719598	1
p36.12	MIR4253	22863159	22863226	1
p36.12	KDM1A	23019448	23083689	1
p36.12	MIR3115	23044305	23044372	1
p36.12	LUZP1	23084023	23177808	1
p36.12	HTR1D	23191895	23194729	1
p36.12	HNRNPR	23303771	23344336	1
p36.12	ZNF436	23359448	23369442	1
p36.12	TCEA3	23381061	23424740	1
p36.12	ASAP3	23428563	23484568	1
p36.12	E2F2	23506430	23531220	1
p36.12	ID3	23557918	23559794	1
p36.12	MDS2	23581495	23640568	1
p36.11	RPL11	23691779	23696425	1
p36.11	TCEB3	23743155	23762059	1
p36.11	PITHD1	23778405	23788232	1
p36.11	LYPLA2	23790970	23795539	1
p36.11	GALE	23795599	23800804	1
p36.11	HMGCL	23801885	23838620	1
p36.11	FUCA1	23845077	23868294	1
p36.11	CNR2	23870526	23913362	1
p36.11	MIR378F	23929070	23929147	1
p36.11	PNRC2	23959109	23963462	1
p36.11	SRSF10	23964804	23980927	1
p36.11	MYOM3	24056035	24112175	1
p36.11	IL22RA1	24119771	24143121	1
p36.11	GRHL3	24319322	24364482	1
p36.11	NIPAL3	24415794	24472976	1
p36.11	RCAN3	24502351	24541040	1
p36.11	SRRM1	24631716	24673267	1
p36.11	CLIC4	24745357	24844324	1
p36.11	RUNX3	24899511	24965121	1
p36.11	SYF2	25222679	25232502	1
p36.11	RHD	25272393	25330445	1
p36.11	TMEM50A	25337917	25362361	1
p36.11	RHCE	25362249	25430192	1
p36.11	TMEM57	25430858	25500209	1
p36.11	LDLRAP1	25543580	25568886	1
p36.11	MAN1C1	25617468	25786207	1
p36.11	SEPN1	25800176	25818224	1
p36.11	PAQR7	25861210	25871253	1
p36.11	STMN1	25884181	25906991	1
p36.11	PAFAH2	25959767	25998157	1
p36.11	EXTL1	26019884	26036464	1
p36.11	SLC30A2	26037252	26046133	1
p36.11	TRIM63	26051304	26068436	1
p36.11	PDIK1L	26111165	26125543	1
p36.11	FAM110D	26159020	26163962	1
p36.11	ZNF593	26169871	26170873	1
p36.11	CNKSR1	26177403	26189886	1
p36.11	CATSPER4	26190561	26202968	1
p36.11	CEP85	26234153	26279038	1
p36.11	SH3BGRL3	26279176	26281522	1
p36.11	UBXN11	26281328	26318363	1
p36.11	CD52	26317957	26320523	1
p36.11	AIM1L	26321859	26354130	1
p36.11	ZNF683	26361634	26374522	1
p36.11	LIN28A	26410778	26429722	1
p36.11	DHDDS	26432282	26471294	1
p36.11	HMGN2	26472450	26475972	1
p36.11	RPS6KA1	26529761	26575030	1
p36.11	MIR1976	26554542	26554593	1
p36.11	ARID1A	26693236	26782104	1
p36.11	PIGV	26787472	26798398	1
p36.11	ZDHHC18	26826710	26857602	1
p36.11	SFN	26863138	26864457	1
p36.11	GPN2	26876133	26890297	1
p36.11	GPATCH3	26890488	26900466	1
p36.11	NUDC	26900238	26946862	1
p36.11	NR0B2	26911489	26913966	1
p36.11	TRNP1	26993707	27000898	1
p36.11	FAM46B	27005020	27012836	1
p36.11	SLC9A1	27098815	27166981	1
p36.11	WDTC1	27234516	27308633	1
p36.11	TMEM222	27322145	27336400	1
p36.11	SYTL1	27342020	27353937	1
p36.11	MAP3K6	27355184	27366892	1
p36.11	FCN3	27369112	27374824	1
p36.11	CD164L2	27379176	27383380	1
p36.11	GPR3	27392644	27395814	1
p36.11	WASF2	27404226	27490158	1
p35.3	AHDC1	27534035	27604431	1
p35.3	FGR	27612064	27635277	1
p35.3	IFI6	27666061	27672218	1
p35.3	FAM76A	27725979	27763122	1
p35.3	STX12	27773183	27824452	1
p35.3	PPP1R8	27830778	27851676	1
p35.3	SCARNA1	27834401	27834566	1
p35.3	RPA2	27891524	27914746	1
p35.3	SMPDL3B	27934993	27959157	1
p35.3	XKR8	27959462	27968096	1
p35.3	EYA3	27970344	28088696	1
p35.3	PTAFR	28147166	28193936	1
p35.3	DNAJC8	28199456	28233025	1
p35.3	ATPIF1	28236109	28246906	1
p35.3	SESN2	28259527	28282491	1
p35.3	MED18	28329002	28335967	1
p35.3	PHACTR4	28369582	28500369	1
p35.3	RCC1	28505943	28539300	1
p35.3	SNHG3	28505980	28510892	1
p35.3	TRNAU1AP	28553085	28578545	1
p35.3	SNHG12	28578538	28582983	1
p35.3	SNORD99	28578749	28578822	1
p35.3	SNORA61	28579764	28579893	1
p35.3	SNORA44	28580381	28580512	1
p35.3	SNORA16A	28580920	28581056	1
p35.3	SNORA16A	28580920	28581054	1
p35.3	TAF12	28589323	28643085	1
p35.3	RAB42	28592200	28595443	1
p35.3	RNU11	28648600	28648733	1
p35.3	GMEB1	28668732	28719353	1
p35.3	YTHDF2	28736621	28769775	1
p35.3	OPRD1	28812142	28871267	1
p35.3	EPB41	28887091	29120046	1
p35.3	TMEM200B	29119428	29123935	1
p35.3	SRSF4	29147743	29181987	1
p35.3	MECR	29192873	29230942	1
p35.3	PTPRU	29236516	29326813	1
p35.2	MATN1	30711277	30723587	1
p35.2	LAPTM5	30732469	30757820	1
p35.2	MIR4420	30739156	30739232	1
p35.2	SDC3	30869467	30908761	1
p35.2	PUM1	30931506	31065991	1
p35.2	NKAIN1	31179745	31239554	1
p35.2	SNRNP40	31259568	31296782	1
p35.2	ZCCHC17	31296982	31364953	1
p35.2	FABP3	31365625	31376850	1
p35.2	SERINC2	31409565	31434680	1
p35.2	TINAGL1	31576485	31587686	1
p35.2	HCRTR1	31617686	31632518	1
p35.2	PEF1	31629862	31644896	1
p35.2	COL16A1	31652247	31704319	1
p35.2	MIR4254	31758660	31758735	1
p35.2	SPOCD1	31790422	31816051	1
p35.2	PTP4A2	31906421	31944856	1
p35.2	KHDRBS1	32013829	32060850	1
p35.2	TMEM39B	32072031	32102866	1
p35.2	KPNA6	32108038	32176568	1
p35.2	TXLNA	32179686	32198285	1
p35.2	CCDC28B	32200386	32205387	1
p35.2	IQCC	32205661	32208687	1
p35.2	DCDC2B	32209094	32216196	1
p35.2	TMEM234	32214472	32222359	1
p35.2	EIF3I	32221928	32231604	1
p35.2	MTMR9LP	32231658	32241620	1
p35.2	FAM167B	32247233	32248856	1
p35.2	LCK	32251239	32286165	1
p35.2	HDAC1	32292086	32333635	1
p35.1	MARCKSL1	32333832	32336379	1
p35.1	TSSK3	32351521	32364312	1
p35.1	BSDC1	32365103	32394731	1
p35.1	ZBTB8B	32465069	32496686	1
p35.1	ZBTB8A	32539427	32605939	1
p35.1	ZBTB8OS	32600172	32650903	1
p35.1	RBBP4	32651142	32686211	1
p35.1	SYNC	32680360	32703596	1
p35.1	KIAA1522	32741885	32774970	1
p35.1	YARS	32775237	32818153	1
p35.1	S100PBP	32816767	32858879	1
p35.1	FNDC5	32862268	32872482	1
p35.1	HPCA	32885994	32898441	1
p35.1	TMEM54	32894594	32901438	1
p35.1	RNF19B	32936445	32964685	1
p35.1	AK2	33007940	33080996	1
p35.1	TRIM62	33145402	33182059	1
p35.1	ZNF362	33256545	33300719	1
p35.1	PHC2	33323623	33431052	1
p35.1	ZSCAN20	33472645	33496507	1
p35.1	CSMD2	33513999	34165842	1
p35.1	HMGB4	33860475	33864791	1
p35.1	C1orf94	34166883	34219131	1
p34.3	GJB5	34755047	34758512	1
p34.3	GJB4	34759741	34763724	1
p34.3	GJB3	34781189	34786369	1
p34.3	GJA4	34792998	34795747	1
p34.3	DLGAP3	34865436	34929585	1
p34.3	ZMYM6	34986165	35031968	1
p34.3	ZMYM1	35059786	35115859	1
p34.3	SFPQ	35176378	35193148	1
p34.3	ZMYM4	35268967	35422058	1
p34.3	KIAA0319L	35433490	35557950	1
p34.3	NCDN	35557473	35567274	1
p34.3	TFAP2E	35573370	35595328	1
p34.3	PSMB2	35599544	35641844	1
p34.3	C1orf216	35713875	35719472	1
p34.3	CLSPN	35720218	35769967	1
p34.3	TEKT2	36084075	36088275	1
p34.3	ADPRHL2	36088875	36093932	1
p34.3	COL8A2	36095236	36125220	1
p34.3	TRAPPC3	36136570	36156053	1
p34.3	MAP7D1	36155579	36180849	1
p34.3	THRAP3	36224416	36305357	1
p34.3	SH3D21	36306387	36324886	1
p34.3	STK40	36339624	36385896	1
p34.3	LSM10	36391238	36397892	1
p34.3	OSCP1	36415827	36450451	1
p34.3	MRPS15	36455718	36464437	1
p34.3	CSF3R	36466043	36483278	1
p34.3	GRIK3	36795527	37034129	1
p34.3	MIR4255	37161563	37161634	1
p34.3	ZC3H12A	37474552	37484379	1
p34.3	MEAF6	37492575	37514774	1
p34.3	SNIP1	37534449	37554302	1
p34.3	DNALI1	37556919	37566857	1
p34.3	GNL2	37566816	37595935	1
p34.3	RSPO1	37611350	37634923	1
p34.3	C1orf109	37681570	37692249	1
p34.3	CDCA8	37692418	37709719	1
p34.3	EPHA10	37713880	37765133	1
p34.3	MANEAL	37793802	37801137	1
p34.3	YRDC	37802944	37808185	1
p34.3	C1orf122	37806979	37809454	1
p34.3	MTF1	37809567	37859620	1
p34.3	INPP5B	37860697	37947057	1
p34.3	SF3A3	37956975	37990921	1
p34.3	FHL3	37996770	38005606	1
p34.3	POU3F1	38044611	38046794	1
p34.3	MIR3659	38089231	38089329	1
p34.3	RRAGC	38838198	38859823	1
p34.3	MYCBP	38862964	38874105	1
p34.3	GJA9	38874451	38881587	1
p34.3	RHBDL2	38885807	38941799	1
p34.3	AKIRIN1	38991223	39006059	1
p34.3	NDUFS5	39026318	39034636	1
p34.3	MACF1	39081316	39487177	1
p34.3	BMP8A	39491646	39525935	1
p34.3	PPIEL	39531838	39558707	1
p34.3	PABPC4	39560816	39576790	1
p34.3	SNORA55	39567374	39567508	1
p34.2	HEYL	39624153	39639945	1
p34.2	NT5C1A	39659121	39672038	1
p34.2	HPCAL4	39678648	39691689	1
p34.2	PPIE	39692182	39763914	1
p34.2	BMP8B	39757182	39788861	1
p34.2	OXCT2	39769523	39771348	1
p34.2	TRIT1	39841022	39883511	1
p34.2	MFSD2A	39955112	39969968	1
p34.2	CAP1	40040233	40072649	1
p34.2	PPT1	40072705	40097703	1
p34.2	RLF	40161373	40240921	1
p34.2	TMCO2	40245947	40251691	1
p34.2	ZMPSTE24	40258107	40294184	1
p34.2	COL9A2	40300487	40317816	1
p34.2	SMAP2	40344850	40423326	1
p34.2	ZNF684	40531561	40548169	1
p34.2	RIMS3	40620679	40665657	1
p34.2	NFYC	40691648	40771603	1
p34.2	MIR30E	40754355	40754446	1
p34.2	MIR30C1	40757284	40757372	1
p34.2	KCNQ4	40784012	40840452	1
p34.2	CITED4	40861051	40862366	1
p34.2	SLFNL1	41015597	41023237	1
p34.2	SCMH1	41027200	41242154	1
p34.2	EDN2	41478775	41484673	1
p34.2	HIVEP3	41506365	42035925	1
p34.2	GUCA2B	42153421	42155824	1
p34.2	GUCA2A	42162691	42164718	1
p34.2	FOXJ3	42176539	42335877	1
p34.2	RIMKLA	42380795	42422578	1
p34.2	ZMYND12	42430329	42456267	1
p34.2	PPCS	42456117	42473385	1
p34.2	CCDC30	42463330	42654664	1
p34.2	PPIH	42658425	42676758	1
p34.2	YBX1	42682427	42702349	1
p34.2	CLDN19	42733093	42740254	1
p34.2	C1orf50	42767269	42775747	1
p34.2	ERMAP	42817124	42844989	1
p34.2	ZNF691	42846573	42852477	1
p34.2	SLC2A1	42925375	42959173	1
p34.2	FAM183A	43145153	43156396	1
p34.2	EBNA1BP2	43164175	43270936	1
p34.2	TMEM125	43269994	43274002	1
p34.2	C1orf210	43281883	43285617	1
p34.2	TIE1	43300993	43323108	1
p34.2	MPL	43337807	43352772	1
p34.2	CDC20	43358955	43363203	1
p34.2	ELOVL1	43363397	43368074	1
p34.2	MED8	43383917	43389808	1
p34.2	SZT2	43389882	43452650	1
p34.2	HYI	43451003	43453989	1
p34.2	PTPRF	43525187	43623666	1
p34.2	KDM4A	43650158	43705515	1
p34.1	ST3GAL3	43705824	43931165	1
p34.1	ARTN	43933320	43937241	1
p34.1	IPO13	43946939	43968022	1
p34.1	DPH2	43970000	43973369	1
p34.1	ATP6V0B	43974487	43978295	1
p34.1	B4GALT2	43978943	43991170	1
p34.1	CCDC24	43991359	43996528	1
p34.1	SLC6A9	43991500	44031467	1
p34.1	KLF17	44118850	44135140	1
p34.1	DMAP1	44213455	44220681	1
p34.1	ERI3	44221070	44355260	1
p34.1	RNF220	44405194	44651724	1
p34.1	TMEM53	44635238	44674555	1
p34.1	C1orf228	44674692	44725591	1
p34.1	RNU5F-1	44721786	44721902	1
p34.1	RNU5D-1	44731055	44731170	1
p34.1	KIF2C	44739818	44767767	1
p34.1	RPS8	44775251	44778779	1
p34.1	SNORD55	44775864	44775943	1
p34.1	SNORD46	44776490	44776593	1
p34.1	SNORD38A	44777843	44777912	1
p34.1	SNORD38B	44778390	44778458	1
p34.1	SNORD38B	44778390	44778456	1
p34.1	BEST4	44783585	44787705	1
p34.1	PLK3	44800225	44805990	1
p34.1	TCTEX1D4	44805913	44806675	1
p34.1	BTBD19	44808482	44815585	1
p34.1	PTCH2	44819844	44843063	1
p34.1	EIF2B3	44850522	44986722	1
p34.1	HECTD3	45002540	45011329	1
p34.1	UROD	45012147	45015575	1
p34.1	ZSWIM5	45016399	45306209	1
p34.1	HPDL	45326905	45328533	1
p34.1	MUTYH	45329163	45340470	1
p34.1	TOE1	45339670	45343975	1
p34.1	TESK2	45343883	45491166	1
p34.1	CCDC163P	45493866	45500079	1
p34.1	MMACHC	45500053	45513382	1
p34.1	PRDX1	45511036	45523047	1
p34.1	AKR1A1	45550543	45570049	1
p34.1	NASP	45583846	45618904	1
p34.1	CCDC17	45620044	45624057	1
p34.1	GPBP1L1	45627304	45688113	1
p34.1	RPS15AP10	45645816	45646197	1
p34.1	TMEM69	45687214	45694443	1
p34.1	IPP	45694324	45750650	1
p34.1	MAST2	45786987	46036124	1
p34.1	PIK3R3	46040140	46133036	1
p34.1	TSPAN1	46175073	46185958	1
p34.1	POMGNT1	46188682	46220305	1
p34.1	LURAP1	46203334	46221261	1
p34.1	RAD54L	46247688	46278473	1
p33	LRRC41	46261196	46303608	1
p33	UQCRH	46303631	46316776	1
p33	NSUN4	46340177	46365152	1
p33	FAAH	46394265	46413848	1
p33	DMBX1	46506996	46514226	1
p33	KNCN	46545644	46551527	1
p33	MKNK1	46557408	46616843	1
p33	MOB3C	46607715	46616891	1
p33	ATPAF1	46632737	46673867	1
p33	CYP4B1	46757838	46819413	1
p33	CYP4Z2P	46843095	46900437	1
p33	CYP4A11	46929177	46941484	1
p33	CYP4X1	47023568	47050751	1
p33	CYP4Z1	47067488	47118319	1
p33	CYP4A22	47137435	47149741	1
p33	PDZK1IP1	47183593	47191044	1
p33	TAL1	47216290	47232220	1
p33	STIL	47250139	47314147	1
p33	CMPK1	47333797	47378839	1
p33	FOXE3	47416072	47418052	1
p33	FOXD2	47436017	47440691	1
p33	SLC5A9	48222685	48248644	1
p33	SPATA6	48295372	48472208	1
p33	AGBL4	48532855	50023913	1
p33	BEND5	48727523	48776969	1
p33	ELAVL4	50048014	50203786	1
